category_id,drug_N,제품명,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?
77,K-007340,프리나정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정씩, 1일 2회 12시간마다 복용. 급성통풍에 성인은 처음 복용량으로 3정을 복용하고, 발작이 없어질 때까지 8시간 간격으로 1정을 복용. 골격근장애, 수술후 통증, 발치 후 통증, 월경곤란증, 힘줄염, 활액낭염에 성인은 처음 복용량으로 2정을 복용하고 6~8시간 간격으로 1정씩 투여. 1일 총용량이 1,350 mg을 초과하지 않도록 . 편두통에 성인은 처음 복용량으로 3정을 복용. 필요하면 1일 1~2정을 더 복용할 수 있으며 처음 복용량의 복용 30분 후에 복용. 1일 총용량이 1,350 mg을 초과하지 않도록 . 연령, 증상에 따라 적절히 증감할 수 있습니다."
78,K-007348,리보테인정,"육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B2, B6의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염 증상의 완화에 사용.","만 8세 이상 어린이 및 성인은 1회 1정씩, 1일 3회 식후에 복용."
79,K-007388,크라운세티리진염산염정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
80,K-007588,씨메탈시정,"위통, 속쓰림, 체함, 구역에 사용.","15세 이상~80세 미만 성인은 1회 2정씩 복용. 필요시 4시간 간격으로 1회 2정씩, 1일 3회까지 복용할 수 있습니다. 단, 1일 3회을 초과하여 복용하지 마십시오."
81,K-007822,훼스탈골드정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.","성인은 1회 1정씩, 1일 3회 식후에 씹지말고 복용."
82,K-007843,태극나렉신정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정, 1일 2회, 급성통풍에는 초회량으로 3정 복용하고 발작이 없어질때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에는 초회량으로 2정을 복용한 후 6~8시간간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에는 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 복용할 수 있으며 초회량의 복용 30분 후에 복용. 1일 총용량이 5정을 초과하지 않도록 ."
83,K-007914,마그오캡슐,"위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 1~2캡슐을 수회 분할 복용, 변비증에는 1일 4캡슐을 1~2회 분할 복용. 다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량."
84,K-007923,콘로인캡슐,경증에서 중등도의 골관절염에 사용.,성인은 1회 1~2캡슐을 1일 2회 복용.
85,K-008123,미래나프록센나트륨정,"류마티양 관절염, 골관절염, 강직성 척추염, 건염, 급성통풍, 월경곤란증과 활액낭염, 골격근장애, 좌상, 외상, 요천통), 수술후 동통, 편두통, 발치후 통증에 사용.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정, 1일 2회, 급성통풍에는 초회량으로 3정 복용하고 발작이 없어질때까지 8시간 간격으로 1정을 복용, 골격근장애, 수술후 동통, 발치후 동통, 월경곤란증, 건염, 활액낭염에는 초회량으로 2정을 복용한 후 6~8시간간격으로 1정씩 복용하고 1일 총용량이 5정을 초과하지 않도록 . 편두통에는 초회량으로 3정을 복용하고 필요하면 1일 1~2정을 더 복용할 수 있으며 초회량의 복용 30분 후에 복용. 1일 총용량이 5정을 초과하지 않도록 ."
86,K-008204,씨씨본정,"위십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선과 칼슘보급에 사용.","위·십이지장궤양, 위염, 위산과다에는 1일 2~10정을 3~4회 분할 복용, 칼슘보급에는 1일 3~6정을 1~2회 분할 복용. 연령, 증상에 따라 적절히 증감."
87,K-008537,한미알마게이트정,"위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용.","성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
88,K-008826,아웃콜캡슐,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","만 15세 이상 및 성인은 1회 2캡슐씩, 1일 3회 식후 30분 이내에 복용."
89,K-008868,샤이닝정,"위장관계 질환의 발작성 동통 또는 담도계, 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통에 사용.",성인은 1회 1~2정 1일 3회 복용. 1일 최대용량은 6정을 초과하지 마십시오.
90,K-008900,복합탈시드츄어블정,"속쓰림, 위부불쾌감, 위통, 위산과다, 구역, 구토, 위부팽만감, 위체, 신트림에 사용.",만 15세 이상 소아 및 성인은 1회 1정 1일 3회 식전 또는 식간의 공복시에 씹어서 복용하거나 입안에서 녹여서 복용.
91,K-008976,세티진정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 6세 이상의 소아는 1일 1회 1정을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1/2정씩을 아침, 저녁에 분할 복용. 연령, 증상에 따라 적절히 증감. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오."
92,K-009379,트립라인정,"수술 및 외상후, 유즙울체의 염증성 부종의 완화에 사용.","성인은 첫날 1회 2정 1일 4회, 이후 유지량으로 1회 1정 1일 4회 복용. 체내에서의 작용기전은 아직 해명되지 않은 점이 많고 용량, 효과관계도 밝혀진 것이 아니므로 목적 없이 투여하지 않습니다."
93,K-009387,자니틴정,"위산과다, 속쓰림, 신트림에 사용.",성인은 1일 1회 1정을 복용. 8시간 경과후에도 증상의 개선이 없을 경우 1정을 추가로 복용. 1일 2정을 초과하지 마십시오.
94,K-009410,세르비아캡슐,"장내균총 이상에 의한 정장, 변비, 묽은 변, 복부팽만감, 장내이상발효의 개선에 사용.","성인은 1회 1캡슐씩 1일 3회 복용. 연령, 증상에 따라 적절히 증감할 수 있습니다."
95,K-009432,액소도스정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인은 1회 1정, 소아는 1회 1 / 2 정을 1일 3회 매 식후에 복용."
96,K-009443,삐삐콜플러스정,"계절성 및 통년성 비 알레르기, 급성 비염 및 부비동염, 급성 및 아급성 부비강염, 이관폐색 및 분비성 중이염에서의 상기도 점막 충혈의 증상 변화에 사용.","성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
97,K-009496,리메부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 , 과민성대장증후군 및 경련성 결장, 소아 질환)에 사용.","성인은 1회 1~2정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
98,K-010408,셀트리온트리메부틴말레산염정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환에 사용.","성인은 1회 0.5~1정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
99,K-010450,코미정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","만 12세 이상 소아 및 성인은 4시간마다 1정씩 복용하되, 24시간 동안 6정을 초과하지 마십시오. 만 6세 이상~12세 미만 소아는 4시간마다 1 / 2 정씩 복용하되, 24시간동안 3정을 초과하지 마십시오. 만 6세 미만 소아는 의사의 지시에 따릅니다."
100,K-010528,애니펜정,"만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증과 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","6세 이상의 어린이는 체중 kg당 약 15 mg을 1일 2~4회 분할 복용. 체중이 30 kg 미만인 어린이는 1일 용량이 2정을 초과해서는 안됩니다. 성인은 1회 2정을 1일 2~4회 식사시 복용. 단, 1일 8정을 초과하지 않습니다."
101,K-010538,펜타우드정,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
102,K-010543,에쟈스민정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
103,K-010545,데코라펜정,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
104,K-010738,덱스핀정,"만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
105,K-010749,훼로바유서방정,철 결핍성 빈혈의 예방 및 치료에 사용.,"성인 및 12세 이상 어린이는 1회 1정, 1일 1~2회 식후 씹지 않고 삼켜서 복용."
106,K-010769,잘젠정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인은 1회 1~2정 1일 3회 식후에 복용.
107,K-010912,로이디펜캡슐,"설사, 묽은 변, 식체, 토사에 사용.",15세 이상 및 성인은 1회 2캡슐을 1일 2회 복용. 복용간격은 4시간 이상으로 .
108,K-010944,스카이정,"위장관계 질환의 발작성 동통 또는 담도계, 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통에 사용.",성인은 1회 1~2정 1일 3회 복용. 1일 최대용량은 6정을 초과하지 마십시오.
109,K-010955,미다펜정,"신경통, 근육통, 관절통, 요통, 염좌통, 견통, 근경련, 근경직등 근육의 이상 긴장을 수반하는 제질환에 사용.","성인은 1회 2정, 1일 4회까지 공복을 피하여 복용. 연령, 증상에 따라 적절히 증감."
110,K-010995,구주로라타딘정,알레르기성 비염과 만성 두드러기를 치료.,"성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
111,K-011015,시노카엔캡슐,알레르기성 비염과 만성 두드러기를 치료.,성인은 4시간 이상의 간격으로 1회 1캡슐씩 1일 3회 식후 복용.
112,K-011029,하이스탈정,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체, 구역, 구토, 위통, 신트림, 소화불량, 식욕감퇴, 과식, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인은 1회 2정 1일 3회 매 식후에 복용.
113,K-011064,팬스타정,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
114,K-011154,프리메정,"만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
115,K-011166,시노피드플러스정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 1회 1~2정씩 4∼6시간마다 복용. 1일 최대 8정을 초과하여 복용하지 마십시오.
116,K-011354,애드빌정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3정 1일 3~4회 1일 최고 16정까지 투여할 수 있으며, 연소성 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 경구 투여, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2정 1일 3~4회 복용. 11~14세는 1회 200~250 mg, 7~10세는 1회 150~200 mg, 3~ 6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 복용. 체중이 30kg미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 투여는 피하는 것이 바람직."
117,K-011543,이바내정,"육체피로, 임신·수유기, 병중·병후의 체력 저하 시 비타민 B2, B6, C의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염 증상의 완화에 사용.","만 8세 이상 어린이 및 성인은 1회 2정씩, 1일 1회 복용."
118,K-011544,생장환에스정,"변비와 변비에 수반하는 머리가 무거움, 역상, 피부거침, 부스럼, 식욕부진, 복부팽만, 장내이상발효, 치질의 완화에 사용.","15세 이상 및 성인은 1회 1~3정을 1일 1회 취침전시)에 복용. 단, 처음은 최소량을 이용하고, 변통의 비율이나 상태를 보면서 조금씩 증량 또는 감량하십시오."
119,K-011613,세토펜이알서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
120,K-011617,모아코정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 1회 1~2정씩 4∼6시간마다 복용. 1일 최대 8정을 초과하여 복용하지 마십시오.
121,K-011780,지펜정,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
122,K-011783,아르펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
123,K-011845,하드칼츄어블정,"칼슘 결핍 및 기타 칼슘의 보급과 임신ㆍ수유기, 발육기, 노년기의 비타민 D의 보급과 뼈, 이의 발육불량, 구루병의 예방에 사용.","성인 및 만 12세 이상은 1회 1~2정, 1일 1회 복용. 만 36개월 이상~만 12세 미만 어린이는 1회 1 / 2 ~1정, 1일 1회 복용. 입안에서 녹이거나 씹어서 복용."
124,K-011846,타세놀이알서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
125,K-011942,맥스펜정,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
126,K-011982,쎄락틸정,"만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
127,K-012003,올바펜정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","성인은 1회 1~2정, 1일 3회 공복을 피하여 복용. 복용간격은 4시간 이상으로 ."
128,K-012081,리렉스펜정,"신경통, 근육통, 관절통, 요통, 염좌통, 견통, 근경련, 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용.","성인은 1회 2정 1일 4회까지 공복을 피하여 복용. 연령, 증상에 따라 적절히 증감."
129,K-012192,에스프로펜정,"만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증, 염증·통증 및 발열을 수반하는 감염증의 치료보조에 사용.","성인은 1회 1정씩, 1일 2~4회 복용. 단, 1일 4정을 초과하지 않습니다."
130,K-012244,엔시드시간이알서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
131,K-012249,우먼스타이레놀정,"월경 전 긴장증, 부종, 경련, 요통 및 두통의 완화에 사용.","성인 및 12세 이상: 1일 1회 1정 복용. 6~12세 미만: 체중 30 kg 이상은 1일 1회 1정, 30 kg 이하는 1일 1회 1/2정 복용."
132,K-012256,제스부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 과 과민성대장증후군 및 경련성 결장과 소아 질환)에 사용.","성인은 1회 1~2정 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
133,K-012758,피로펜정,"신경통, 근육통, 관절통, 요통, 염좌통, 견통, 근경련, 근경직등 근육의 이상 긴장을 수반하는 여러 질환에 사용.","성인은 1회 2정, 1일 4회까지 공복을 피하여 복용. 연령, 증상에 따라 적절히 증감."
134,K-012769,닥터베아제정,"소화불량, 식욕감퇴, 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.",성인 1회 1정을 1일 3회 식후에 복용.
135,K-012865,알비정,"회충, 요충, 십이지장충, 편충, 아메리카 구충, 분선충의 감염 및 이들 혼합감염의 치료에 사용.","성인 및 24개월 이상의 소아는 요충에 1일 1회 1정을 복용. 박멸을 위하여 7일 뒤, 한번만 더 1정을 복용. 회충, 십이지장충, 편충, 아메리카구충에 1회 1정을 단회 복용. 분선충의 다른 기생충과 중증 혼합 감염 시에 1일 1회 1정 씩 3일간 복용. 삼키기 어려울 경우 씹거나 소량의 물로 복용할 수 있으며 식사를 중단하거나 하제를 쓰는 등의 특별한 과정은 필요하지 않습니다. 치료 3주 후 검사를 하여 치료되지 않았으면 경우에 따라 2차 투여를 실시할 수 있습니다."
136,K-012914,엠피스정,"신경통, 근육통, 관절통, 허리통, 삠 통증, 어깨통증, 근육경련, 근경직 등 근육의 이상 긴장을 수반하는 여러 질환에 사용.","성인은 1회 2정씩, 1일 4회까지 공복 시를 피하여 복용. 연령, 증상에 따라 적절히 증감."
137,K-013135,포부틴정,"식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 , 과민성대장증후군 및 경련성 결장, 소아 질환)에 사용.","성인은 1회 100~200 mg 1일 3회 식전에 복용. 연령, 증상에 따라 적절히 증감."
138,K-013256,람노스캡슐,장내균총의 정상화에 의한 정장 및 설사증상의 개선에 사용.,성인은 1일 2~8캡슐을 개봉하지 않고 물과 함께 삼켜 복용.
139,K-013259,마그네스정,"임신·수유기, 병중･병후의 체력 저하 시 비타민 B6의 보급과 마그네슘결핍으로 인한 근육경련에 사용.","성인은 1회 2정씩, 1일 3회 식사 중 다량의 물과 함께 복용."
140,K-013332,엘도랄정,급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용.,성인은 1회 1정을 1일 2~3회 복용. 급성 호흡기질환에 투여 시 연속으로 10일 이상 투여하지 않습니다.
141,K-013378,데이감에스정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 4∼6시간마다 1회 1∼2정씩 복용. 최대 하루 8정을 초과하지 않습니다.
142,K-013390,소하자임플러스정,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체, 구역, 구토, 위통, 신트림, 소화불량, 식욕부진, 과식, 소화촉진, 소화불량으로 인한 위부팽만감에 사용.","성인은 1회 2정씩, 1일 3회 매 식후에 복용."
143,K-013395,써스펜시간이알서방정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",12세 이상의 소아 및 성인은 매 8시간마다 2정씩 복용. 24시간 동안 6정을 초과하지 마십시오.
144,K-013403,엘도인캡슐,급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용.,성인은 1회 1캡슐을 1일 2~3회 복용. 급성 호흡기질환에 복용 시 연속으로 10일 이상 복용하지 않습니다.
145,K-013450,하디코프에프정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","만 15세 이상 및 성인은 1회 2정씩, 만 7세 이상~만 15세 미만은 1회 1정씩, 1일 3회 식후 30분에 복용."
146,K-013470,클록펜정,"신경통, 근육통, 관절통, 요통, 염좌통, 견통, 근경련, 근경직등 근육의 이상 긴장을 수반하는 제질환에 사용.","성인은 1회 2정, 1일 4회까지 공복을 피하여 복용. 연령, 증상에 따라 적절히 증감."
147,K-013474,디펜코정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 1회 1~2정씩 4∼6시간마다 복용. 1일 최대 8정을 초과하여 복용하지 마십시오.
148,K-013543,파모콤푸츄정,위산과다 및 속쓰림과 관련된 가슴앓이의 경감에 사용.,성인 및 15세 이상은 1정을 씹어서 복용. 24시간 안에 2정 이상을 복용하지 마십시오. 2주를 초과하여 복용하지 마십시오.
149,K-013592,콜바스타에프정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.",성인은 1회 1~2정씩 4∼6시간마다 복용. 1일 최대 8정을 초과하여 복용하지 마십시오.
150,K-013626,타이레놀콜드에스정,"감기로 인한 발열, 통증, 두통, 신경통, 근육통, 월경통, 염좌통, 치통, 관절통, 류마티양 통증에 사용.","15세 이상 성인은 1회 1정씩, 1일 3회 식후 30분에 복용."
