category_id,drug_N,품목기준코드,제품명,제조/수입사,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약을 사용하기 전에 반드시 알아야 할 내용은 무엇입니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?,Unnamed: 12
75,K-007317,199802387,나프롱정,신일제약(주),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg), 1일 2회(12시간마다), 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 없어질때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용합니다. 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다.",,"이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증의 치료 및 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소화성궤양 경험자, 혈액이상 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 심기능장애, 고혈압, 기관지천식, 전신성홍반성루푸스 및 혼합결합조직질환 환자, 고령자는 의사 또는 약사와 상의하십시오.","다른 비스테로이드성 소염진통제 및 나프록센 유도체, 아스피린, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","심근경색증 및 뇌졸중의 위험 증가, 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응, 드물게 쇽 증상(호흡곤란, 혈압강하, 서맥(느린 맥), 식은땀, 부기), PIE증후군(호산구증가를 수반하는 폐침윤 : 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 토혈(혈액구토), 위장출혈, 소화성궤양, 천공, 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애), 습진, 땀이 남, 자반(자주색 반점), 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 다형성홍반(여러 모양의 붉은 반점), 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증, 드물게 무과립구증, 호산구증가, 백혈구감소, 혈소판감소, 재생불량성빈혈, 용혈성(적혈구파괴성)빈혈, 혈소판기능저하(출혈시간의 연장) 등의 혈액장애 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위부불쾌감, 위통, 복통, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 구내염(입안염), 드물게 복부팽만감, 흑변, 구갈, GOT, GPT 수치의 상승, 황달, 간염, 신장애, 신장염, 혈뇨, 고칼륨혈증, 간질성신염, 신증후군, 신장(콩팥) 유두괴사, 단백뇨(단백질이 섞인 오줌), 신부전, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 심계항진(두근거림), 근무력증(근육무력증), 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 등이 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
76,K-007339,199802620,쎄로테정,(주)씨엠지제약,"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과 하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정(5 mg)씩을 아침, 저녁에 분할 복용합니다. 연령, 증상에 따라 적절히 증감합니다. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",,"이 약 및 히드록시진 또는 피페라진 유도체에 과민증 환자, 신부전 환자(크레아티닌 청소율 < 10mL/min), 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 6세 미만의 유아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 신장애, 간장애 환자, 노인, 간질 및 발작 위험성이 있는 환자, 소변고임의 선행요인(척수 병변, 전립선 비대증)이 있는 환자는 의사 또는 약사와 상의하십시오.","테오필린, 리토나비어와 함께 복용하지 마십시오. 과량의 알코올과 함께 복용하지 마십시오.","이 약 투여 중단 후 가려움증, 두드러기가 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
77,K-007340,199802621,프리나정,(주)씨엠지제약,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg)씩, 1일 2회 12시간마다 복용합니다. 급성통풍에 성인은 처음 복용량으로 3정(825 mg)을 복용하고, 발작이 없어질 때까지 8시간 간격으로 1정(275 mg)을 복용합니다. 골격근장애, 수술후 통증, 발치 후 통증, 월경곤란증, 힘줄염, 활액(윤활)낭염에 성인은 처음 복용량으로 2정(550 mg)을 복용하고 6~8시간 간격으로 1정(275 mg)씩 투여합니다. 1일 총용량이 1,350 mg을 초과하지 않도록 합니다. 편두통에 성인은 처음 복용량으로 3정(825 mg)을 복용합니다. 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 처음 복용량의 복용 30분 후에 복용합니다. 1일 총용량이 1,350 mg을 초과하지 않도록 합니다. 연령, 증상에 따라 적절히 증감할 수 있습니다.","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다. 이 약 복용 시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증 및 뇌졸중의 위험을 증가시킬 수 있으며, 이는 치명적일 수 있습니다. 이 약 복용 시 위 또는 장관(창자)의 출혈, 궤양 및 천공(뚫림)을 포함한 중대한 위장관계 이상반응의 위험을 증가시킬 수 있으며, 이는 치명적일 수 있습니다.","이 약에 과민증, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증 치료 환자, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 만 2세 이하는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소화성궤양 경험자, 혈액이상 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 신혈류량 저하, 심기능 장애, 고혈압, 과민증, 기관지천식, 전신성 홍반성 루푸스 및 혼합결합조직질환 환자, 고령자는 의사 또는 약사와 상의하십시오.","다른 비스테로이드성 소염진통제, 나프록센 유도체, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","드물게 쇽 증상(호흡곤란, 혈압강하, 느린 맥, 식은땀, 부기), PIE증후군(호산구증가를 수반하는 폐침윤: 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 혈액구토, 위장출혈, 소화성궤양, 뚫림, 무과립구증, 호산구증가, 백혈구감소, 혈소판감소, 재생불량성빈혈, 적혈구파괴성빈혈, 혈소판기능저하(출혈시간의 연장), 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애 등), 습진, 땀이 남, 자주색 반점, 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 여러 모양의 붉은 반점, 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위부불쾌감, 위통, 복통, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 입안염, 드물게 복부팽만감, 흑변, 구갈, GOT, GPT 수치의 상승, 황달, 간염, 신장애, 사구체 신염, 혈뇨, 고칼륨 혈증, 간질성 신염, 신증후군, 콩팥 유두괴사, 단백질이 섞인 오줌, 신부전, 때때로 졸음, 인식기능장애, 드물게 어지러움, 두통, 수족저림, 정력감퇴, 피로, 우울, 비정상적인 꿈, 집중능력 상실, 방향감각장애, 불면, 근육통, 근쇠약, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 두근거림, 근육무력증, 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 등이 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
78,K-007348,199802671,리보테인정,조아제약(주),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B2, B6의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상 어린이 및 성인은 1회 1정씩, 1일 3회 식후에 복용합니다.",,"이 약에 과민증 환자, 만 3개월 미만의 젖먹이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 만 1세 미만의 젖먹이는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오. 요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다. 1개월 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",레보도파와 함께 복용하지 마십시오.,"구역, 식욕부진, 복부(배부분)팽만감 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
79,K-007388,199803095,크라운세티리진염산염정,지엘파마(주),"이 약은 계절성 및 다년성 알레르기성 비염, 알레르기성 결막염, 만성 특발성 두드러기, 피부가려움증과 하이드로코티손 외용제와 병용에 의한 습진, 피부염에 사용합니다.","성인 및 6세 이상의 소아는 1일 1회 1정(10 mg)을 취침 전에 복용하고, 이상반응에 민감한 환자의 경우는 1 / 2 정(5 mg)씩을 아침, 저녁에 분할 복용합니다. 연령, 증상에 따라 적절히 증감합니다. 신장애 환자의 투여 간격은 환자의 신기능에 따라 조절되어야 하고, 신장애를 가진 소아 환자는 환자의 신 청소율과 체중을 고려하여 개별적으로 용량을 조절해야 하므로 자세한 사항은 허가사항을 참고하십시오.",,"이 약 및 히드록시진 또는 피페라진 유도체에 과민증 환자, 신부전 환자(크레아티닌 청소율 < 10mL/min), 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 6세 미만의 유아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 신장애, 간장애 환자, 노인, 뇌전증 환자 및 발작 위험성이 있는 환자, 소변고임의 선행요인(척수 병변, 전립선 비대증)이 있는 환자는 의사 또는 약사와 상의하십시오.","테오필린, 리토나비어와 함께 복용하지 마십시오. 과량의 알코올과 함께 복용하지 마십시오.","이 약 투여 중단 후 가려움증, 두드러기가 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
80,K-007588,199806985,씨메탈시정,초당약품공업(주),"이 약은 위통, 속쓰림, 체함, 구역에 사용합니다.","15세 이상~80세 미만 성인은 1회 2정씩 복용합니다. 필요시 4시간 간격으로 1회 2정씩, 1일 3회까지 복용할 수 있습니다. 단, 1일 3회(6정)을 초과하여 복용하지 마십시오.",,"히스타민 H2-수용체 길항제에 과민증 환자, 투석요법을 받고 있는 환자, 혈액질환, 신장·간장질환, 위·십이지장질환, 천식, 류마티스 등의 면역계질환 환자, 적혈구감소증, 혈소판감소증, 백혈구감소증 등의 혈액이상 경험자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 15세 미만 소아 및 80세 이상 고령자, 스테로이드제, 항생물질, 항암제, 아졸계 항진균제를 복용중인 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 65세 이상 고령자, 약에 과민증 경험자, 인후통, 기침, 고열, 원인불명의 체중감소, 복통 환자, 신장병 경험자는 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 3일간 복용하여도 증상의 개선이 없을 경우 복용을 중지하고 의사 또는 약사와 상의하십시오. 복용 후 졸음, 어지러움, 혼란감이 나타날 수 있으므로 운전 또는 기계조작을 피하십시오.","스테로이드제, 항생물질, 항암제, 아졸계 항진균제, 다른 위장약과 함께 복용하지 마십시오. 기관지확장제(테오필린 등), 혈액응고저지제(와파린 등), 항전간제(페니토인 등), 벤조디아제핀계 약제(디아제팜, 트리아졸람 등), 삼환계항우울제(이미프라민 등), 협심증·고혈압 치료제(베타-차단제 프로프라놀롤 등), 칼슘길항제(니페디핀 등), 부정맥치료제(멕실레틴 등), 마크로라이드계 항생물질(테트라사이클린 등), 뉴퀴놀론계 항균제(오플록사신 등), 테트라사이클린계 항생물질과 함께 사용 시 의사 또는 약사와 상의하십시오. 복용 중에는 알코올성 음료를 피하십시오.","두드러기, 부종, 가슴답답함과 동시에 안색창백, 수족냉증, 식은땀, 숨가뿜, 고열을 동반한 발진, 발적, 열상의 수종 등의 심한 증상이 전신의 피부, 입, 눈의 점막에 나타나는 경우, 알레르기 증상(발진, 발적, 가려움, 부종), 변비, 설사, 두통, 발열, 권태감, 탈력감, 감기 증상, 하지ㆍ점막하출혈, 사지저림 및 굳은감, 두근거림, 황달, 전신부종, 혈뇨 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
81,K-007822,199900926,훼스탈골드정,(주)한독,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 1정씩, 1일 3회 식후에 씹지말고 복용합니다.",,"만 7세 이하의 어린이는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 알레르기 체질인 환자, 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상의하십시오. 정해진 용법과 용량을 잘 지키십시오. 2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,,습기와 빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
82,K-007843,199901047,태극나렉신정,태극제약(주),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg), 1일 2회(12시간마다), 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 없어질때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용합니다. 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다.",,"이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증의 치료 및 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소화성궤양 경험자, 혈액이상 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 심기능장애, 고혈압, 기관지천식, 전신성홍반성루푸스 및 혼합결합조직질환 환자, 고령자는 의사 또는 약사와 상의하십시오.","다른 비스테로이드성 소염진통제 및 나프록센 유도체, 아스피린, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","심근경색증 및 뇌졸중의 위험 증가, 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응, 드물게 쇽 증상(호흡곤란, 혈압강하, 서맥(느린 맥), 식은땀, 부기), PIE증후군(호산구증가를 수반하는 폐침윤 : 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 토혈(혈액구토), 위장출혈, 소화성궤양, 천공, 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애), 습진, 땀이 남, 자반(자주색 반점), 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 다형성홍반(여러 모양의 붉은 반점), 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증, 드물게 무과립구증, 호산구증가, 백혈구감소, 혈소판감소, 재생불량성빈혈, 용혈성(적혈구파괴성)빈혈, 혈소판기능저하(출혈시간의 연장) 등의 혈액장애 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위부불쾌감, 위통, 복통, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 구내염(입안염), 드물게 복부팽만감, 흑변, 구갈, GOT, GPT 수치의 상승, 황달, 간염, 신장애, 신장염, 혈뇨, 고칼륨혈증, 간질성신염, 신증후군, 신장(콩팥) 유두괴사, 단백뇨(단백질이 섞인 오줌), 신부전, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 심계항진(두근거림), 근무력증(근육무력증), 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 등이 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
83,K-007914,199901458,마그오캡슐,(주)한국파마,"이 약은 위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용합니다.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 1~2캡슐(0.5~1 g)을 수회(여러 차례) 분할 복용, 변비증에는 1일 4캡슐(2 g)을 1~2회 분할 복용합니다. 다만, 초회는 최소량을 복용하고 변의 모양과 상태를 보면서 조금씩 증량 또는 감량합니다.",,"신장장애, 설사 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 심기능 장애, 고마그네슘혈증 환자, 고령자(만 65세 이상)는 의사 또는 약사와 상의하십시오. 이 약의 흡착작용 또는 소화관내 체액의 pH 상승에 의해 병용 약물의 흡수, 배설에 영향을 줄 수 있으므로 신중히 투여합니다.","이 약을 복용하는 동안 테트라사이클린계 항생물질을 복용하지 마십시오. 다량의 우유, 칼슘제제와 함께 복용 시 의사 또는 약사와 상의하십시오.","일어섰을 때 느끼는 현기증, 맥이 느려짐, 강한 졸음, 의식이 희미해짐, 숨막힘, 근력저하, 구강건조, 구토가 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 마그네슘 중독증상, 때때로 설사 등이 나타날 수 있습니다.",습기를 피해 실온에서 보관하십시오. 공기 중에서 습기 또는 CO2를 흡수하므로 보관에 주의합니다.,
84,K-007923,199901507,콘로인캡슐,삼진제약(주),이 약은 경증(가벼운 증상)에서 중등도의 골관절염(퇴행성관절염)에 사용합니다.,성인은 1회 1~2캡슐(400~800 mg)을 1일 2회 복용합니다.,,"이 약에 과민증 환자, 급성 관절통 환자, 16세 미만, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.",,"구역·구토, 변비, 설사, 식욕부진, 홍반(붉은 반점), 두드러기, 습진, 발진, 반구진성 발진, 가려움, 부종(부기), 수분 저류(수분 쌓임) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",빛을 피해 실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
85,K-008123,199902599,미래나프록센나트륨정,미래제약(주),"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은 1회 1~2정(275~550 mg), 1일 2회(12시간마다), 급성통풍에는 초회량(처음 복용량)으로 3정(825 mg) 복용하고 발작이 없어질때까지 8시간 간격으로 1정(275 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에는 초회량(처음 복용량)으로 2정(550 mg)을 복용한 후 6~8시간간격으로 1정(275 mg)씩 복용하고 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다. 편두통에는 초회량(처음 복용량)으로 3정(825 mg)을 복용하고 필요하면 1일 1~2정(275~550 mg)을 더 복용할 수 있으며 초회량(처음 복용량)의 복용 30분 후에 복용합니다. 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 합니다.",,"이 약에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증의 치료 및 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오. 이 약을 복용하기 전에 소화성궤양 경험자, 혈액이상 경험자, 출혈경향이 있는 환자, 간장애 또는 경험자, 신장애 또는 경험자, 심기능장애, 고혈압, 기관지천식, 전신성홍반성루푸스 및 혼합결합조직질환 환자, 고령자는 의사 또는 약사와 상의하십시오.","다른 비스테로이드성 소염진통제 및 나프록센 유도체, 아스피린, 고용량의 메토트렉세이트와 함께 복용하지 마십시오.","심근경색증 및 뇌졸중의 위험 증가, 위장관의 출혈, 궤양 및 천공(뚫림) 등 치명적일 수 있는 중대한 위장관계 이상반응, 드물게 쇽 증상(호흡곤란, 혈압강하, 서맥(느린 맥), 식은땀, 부기), PIE증후군(호산구증가를 수반하는 폐침윤 : 발열, 숨을 쌕쌕거림, 기침, 가래를 동반함), 두드러기, 때때로 발진, 가려움 등의 과민증상, 토혈(혈액구토), 위장출혈, 소화성궤양, 천공, 무균성 수막염(심한 두통, 구역, 구토, 불면, 목이 뻣뻣함, 발열 또는 의식장애), 습진, 땀이 남, 자반(자주색 반점), 광과민증, 탈모, 발적(충혈되어 붉어짐), 괴사성용해, 다형성홍반(여러 모양의 붉은 반점), 스티븐스-존슨증후군(피부점막안증후군), 두드러기, 표피 수포증, 드물게 무과립구증, 호산구증가, 백혈구감소, 혈소판감소, 재생불량성빈혈, 용혈성(적혈구파괴성)빈혈, 혈소판기능저하(출혈시간의 연장) 등의 혈액장애 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오. 때때로 위부불쾌감, 위통, 복통, 구역, 구토, 식욕부진, 소화불량, 가슴쓰림, 설사, 변비, 구내염(입안염), 드물게 복부팽만감, 흑변, 구갈, GOT, GPT 수치의 상승, 황달, 간염, 신장애, 신장염, 혈뇨, 고칼륨혈증, 간질성신염, 신증후군, 신장(콩팥) 유두괴사, 단백뇨(단백질이 섞인 오줌), 신부전, 귀울림, 청각장애, 시각장애, 부기, 호흡곤란, 심계항진(두근거림), 근무력증(근육무력증), 울혈성심부전, 호산구성 폐렴, 아나필락시양 반응, 월경장애, 오한(춥고 떨리는 증상)과 발열, 혈관염, 고혈당, 저혈당 등이 나타날 수 있습니다.",실온에서 보관하십시오. 어린이의 손이 닿지 않는 곳에 보관하십시오.,
